Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallRayBrain,2.235,498.996,1.949,10726,-25.710
RollerBallRayBrain,2.229,503.650,2.251,10965,-25.553
RollerBallRayBrain,2.218,508.574,2.506,10354,-25.435
RollerBallRayBrain,2.263,513.022,2.027,10874,-25.309
RollerBallRayBrain,2.213,517.604,2.172,10546,-25.247
RollerBallRayBrain,2.205,522.228,2.228,10433,-25.195
RollerBallRayBrain,2.204,526.797,2.171,10681,-25.161
RollerBallRayBrain,2.215,531.317,2.148,10272,-25.053
RollerBallRayBrain,2.230,535.919,2.203,10667,-24.999
RollerBallRayBrain,2.184,540.228,1.957,10241,-24.947
RollerBallRayBrain,2.220,544.841,2.211,10301,-24.846
RollerBallRayBrain,2.222,549.566,2.300,10737,-24.807
RollerBallRayBrain,2.178,553.756,1.857,10311,-24.700
RollerBallRayBrain,2.218,558.715,2.531,10429,-24.637
RollerBallRayBrain,2.230,562.865,1.780,10709,-24.632
RollerBallRayBrain,2.231,567.858,2.552,10841,-24.481
RollerBallRayBrain,2.223,572.339,2.087,10275,-24.459
RollerBallRayBrain,2.213,576.573,1.880,10381,-24.419
RollerBallRayBrain,2.214,581.468,2.473,10546,-24.346
RollerBallRayBrain,2.223,585.420,1.500,10383,-24.281
RollerBallRayBrain,2.228,590.888,2.998,10803,-24.105
RollerBallRayBrain,2.230,595.352,2.063,10418,-24.009
RollerBallRayBrain,2.210,599.637,1.918,10728,-23.910
RollerBallRayBrain,2.191,604.520,2.489,10291,-23.798
RollerBallRayBrain,2.185,608.443,1.611,10253,-23.670
RollerBallRayBrain,2.229,613.476,2.578,10846,-23.548
RollerBallRayBrain,2.238,617.662,1.793,10441,-23.414
RollerBallRayBrain,2.213,622.398,2.328,10430,-23.339
RollerBallRayBrain,2.204,626.942,2.156,10450,-23.257
RollerBallRayBrain,2.229,631.967,2.569,10578,-23.101
RollerBallRayBrain,2.237,636.310,1.949,10891,-22.978
RollerBallRayBrain,2.220,641.447,2.690,10486,-22.738
RollerBallRayBrain,2.211,645.921,2.087,10377,-22.659
RollerBallRayBrain,2.227,650.090,1.813,10327,-22.523
RollerBallRayBrain,2.235,655.072,2.533,10685,-22.452
RollerBallRayBrain,2.218,659.469,2.011,10259,-22.363
RollerBallRayBrain,2.232,664.189,2.288,10889,-22.313
RollerBallRayBrain,2.231,668.339,1.780,10425,-22.208
RollerBallRayBrain,2.205,673.299,2.538,10516,-22.080
RollerBallRayBrain,2.210,677.743,2.065,10556,-21.963
RollerBallRayBrain,2.207,682.796,2.620,10316,-21.950
RollerBallRayBrain,2.216,686.636,1.510,10399,-21.866
RollerBallRayBrain,2.244,691.735,2.645,10633,-21.723
RollerBallRayBrain,2.211,696.195,2.081,10467,-21.600
RollerBallRayBrain,2.211,701.064,2.443,10390,-21.534
RollerBallRayBrain,2.221,705.277,1.840,10561,-21.479
RollerBallRayBrain,2.250,710.327,2.591,10862,-21.344
RollerBallRayBrain,2.242,714.489,1.767,10250,-21.275
RollerBallRayBrain,2.202,719.504,2.605,10360,-21.168
RollerBallRayBrain,2.243,724.057,2.129,10522,-21.088
RollerBallRayBrain,2.205,728.610,2.161,10554,-20.999
RollerBallRayBrain,2.219,733.195,2.193,10779,-20.910
RollerBallRayBrain,2.224,737.834,2.249,10707,-20.782
RollerBallRayBrain,2.234,742.666,2.408,10784,-20.685
RollerBallRayBrain,2.224,747.373,2.303,10318,-20.649
RollerBallRayBrain,2.251,751.992,2.193,10777,-20.625
RollerBallRayBrain,2.220,756.269,1.893,10254,-20.552
RollerBallRayBrain,2.226,760.930,2.254,10391,-20.456
RollerBallRayBrain,2.213,765.682,2.351,10264,-20.330
RollerBallRayBrain,2.219,770.279,2.193,10294,-20.298
RollerBallRayBrain,2.212,774.814,2.147,10385,-20.232
RollerBallRayBrain,2.196,779.476,2.275,10544,-20.175
RollerBallRayBrain,2.230,783.940,2.063,10309,-20.121
RollerBallRayBrain,2.202,788.217,1.943,10254,-20.028
RollerBallRayBrain,2.200,793.132,2.516,10429,-19.938
RollerBallRayBrain,2.236,797.473,1.951,10455,-19.846
RollerBallRayBrain,2.297,802.703,2.690,10805,-19.747
RollerBallRayBrain,2.216,807.476,2.381,10635,-19.693
RollerBallRayBrain,2.206,811.567,1.756,10249,-19.622
RollerBallRayBrain,2.196,816.124,2.188,10243,-19.516
RollerBallRayBrain,2.210,821.068,2.522,10460,-19.459
RollerBallRayBrain,2.204,825.243,1.829,10297,-19.379
RollerBallRayBrain,2.229,830.043,2.384,10505,-19.265
RollerBallRayBrain,2.242,835.314,2.805,10733,-19.231
RollerBallRayBrain,2.200,839.157,1.529,10357,-19.186
RollerBallRayBrain,2.202,844.453,2.855,10337,-19.107
RollerBallRayBrain,2.198,848.579,1.776,10383,-19.035
RollerBallRayBrain,2.205,853.634,2.652,10321,-18.952
RollerBallRayBrain,2.204,857.658,1.686,10347,-18.910
RollerBallRayBrain,2.239,862.458,2.376,10846,-18.834
RollerBallRayBrain,2.219,867.085,2.249,10704,-18.770
RollerBallRayBrain,2.204,871.743,2.294,10429,-18.685
RollerBallRayBrain,2.201,876.140,2.025,10283,-18.612
RollerBallRayBrain,2.226,881.385,2.783,10757,-18.525
RollerBallRayBrain,2.235,885.684,1.913,10575,-18.462
RollerBallRayBrain,2.222,890.162,2.088,10374,-18.393
RollerBallRayBrain,2.207,894.656,2.119,10290,-18.320
RollerBallRayBrain,2.225,899.405,2.322,10615,-18.235
RollerBallRayBrain,2.249,904.210,2.368,10719,-18.142
RollerBallRayBrain,2.245,908.887,2.241,10733,-18.061
RollerBallRayBrain,2.228,913.462,2.163,10809,-17.952
RollerBallRayBrain,2.210,918.605,2.713,10259,-17.853
RollerBallRayBrain,2.240,922.979,1.989,10375,-17.810
RollerBallRayBrain,2.221,927.454,2.080,10598,-17.760
RollerBallRayBrain,2.233,932.235,2.360,10366,-17.692
RollerBallRayBrain,2.236,936.929,2.284,10417,-17.607
RollerBallRayBrain,2.237,941.961,2.590,10369,-17.532
RollerBallRayBrain,2.197,945.942,1.658,10251,-17.486
RollerBallRayBrain,2.219,950.728,2.361,10241,-17.400
RollerBallRayBrain,2.247,955.360,2.192,10623,-17.350
RollerBallRayBrain,2.216,960.185,2.421,10552,-17.308
RollerBallRayBrain,2.223,964.696,2.118,10243,-17.256
RollerBallRayBrain,2.213,969.457,2.366,10325,-17.184
RollerBallRayBrain,2.213,973.504,1.703,10378,-17.126
RollerBallRayBrain,2.214,978.577,2.660,10337,-17.060
RollerBallRayBrain,2.230,982.995,2.032,10496,-17.010
RollerBallRayBrain,2.209,987.710,2.313,10449,-16.936
RollerBallRayBrain,2.227,992.694,2.543,10406,-16.898
RollerBallRayBrain,2.200,997.093,2.024,10490,-16.878
RollerBallRayBrain,2.211,1001.831,2.329,10809,-16.831
RollerBallRayBrain,2.207,1006.234,2.038,10243,-16.786
RollerBallRayBrain,2.216,1010.942,2.304,10315,-16.728
RollerBallRayBrain,2.232,1015.470,2.133,10818,-16.685
RollerBallRayBrain,2.191,1019.890,2.074,10266,-16.618
RollerBallRayBrain,2.206,1025.341,3.008,10654,-16.557
RollerBallRayBrain,2.221,1029.444,1.747,10412,-16.535
RollerBallRayBrain,2.221,1033.992,2.142,10510,-16.469
RollerBallRayBrain,2.211,1038.337,1.978,10287,-16.398
RollerBallRayBrain,2.253,1043.268,2.495,10259,-16.318
RollerBallRayBrain,2.203,1047.700,2.074,10332,-16.273
RollerBallRayBrain,2.210,1052.656,2.544,10341,-16.186
RollerBallRayBrain,2.199,1057.422,2.360,10253,-16.153
RollerBallRayBrain,2.210,1061.569,1.792,10304,-16.092
RollerBallRayBrain,2.217,1066.311,2.351,10255,-16.008
RollerBallRayBrain,2.221,1071.039,2.313,10835,-15.953
RollerBallRayBrain,2.237,1075.440,2.000,10439,-15.908
RollerBallRayBrain,2.201,1079.997,2.189,10250,-15.816
RollerBallRayBrain,2.208,1085.304,2.864,10346,-15.743
RollerBallRayBrain,2.200,1089.705,2.027,10390,-15.702
RollerBallRayBrain,2.215,1094.701,2.575,10348,-15.650
RollerBallRayBrain,2.200,1098.785,1.757,10275,-15.627
RollerBallRayBrain,2.208,1103.362,2.213,10407,-15.577
RollerBallRayBrain,2.206,1108.516,2.740,10312,-15.538
RollerBallRayBrain,2.202,1112.351,1.514,10298,-15.509
RollerBallRayBrain,2.187,1117.247,2.520,10253,-15.424
RollerBallRayBrain,2.219,1121.949,2.297,10536,-15.347
RollerBallRayBrain,2.220,1126.840,2.478,10645,-15.300
RollerBallRayBrain,2.222,1131.445,2.218,10627,-15.258
RollerBallRayBrain,2.215,1136.264,2.425,10466,-15.195
RollerBallRayBrain,2.203,1140.860,2.223,10475,-15.151
RollerBallRayBrain,2.205,1145.284,2.050,10365,-15.118
RollerBallRayBrain,2.214,1150.027,2.342,10361,-15.073
RollerBallRayBrain,2.232,1154.531,2.121,10411,-15.026
RollerBallRayBrain,2.201,1158.871,1.982,10272,-14.971
RollerBallRayBrain,2.218,1164.134,2.822,10354,-14.914
RollerBallRayBrain,2.226,1168.543,2.016,10430,-14.873
RollerBallRayBrain,2.196,1173.056,2.151,10251,-14.836
RollerBallRayBrain,2.192,1177.902,2.366,10259,-14.769
RollerBallRayBrain,2.215,1182.400,2.110,10512,-14.736
RollerBallRayBrain,2.225,1187.286,2.462,10746,-14.692
