Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallRayBrain,2.208,2072.315,2.438,10292,-9.004
RollerBallRayBrain,2.208,2077.093,2.382,10265,-8.985
RollerBallRayBrain,2.202,2081.813,2.333,10287,-8.967
RollerBallRayBrain,2.226,2086.391,2.189,10353,-8.949
RollerBallRayBrain,2.230,2091.356,2.542,10318,-8.925
RollerBallRayBrain,2.218,2096.104,2.343,10330,-8.905
RollerBallRayBrain,2.210,2101.088,2.572,10343,-8.887
RollerBallRayBrain,2.210,2105.678,2.199,10258,-8.872
RollerBallRayBrain,2.183,2110.136,2.116,10331,-8.859
RollerBallRayBrain,2.210,2114.921,2.382,10400,-8.838
RollerBallRayBrain,2.204,2119.903,2.577,10319,-8.816
RollerBallRayBrain,2.212,2124.987,2.677,10268,-8.799
RollerBallRayBrain,2.210,2129.645,2.264,10264,-8.793
RollerBallRayBrain,2.208,2134.083,2.070,10360,-8.784
RollerBallRayBrain,2.234,2138.988,2.481,10331,-8.773
RollerBallRayBrain,2.220,2143.727,2.344,10314,-8.763
RollerBallRayBrain,2.200,2148.061,1.990,10267,-8.756
RollerBallRayBrain,2.226,2152.650,2.187,10301,-8.739
RollerBallRayBrain,2.213,2157.680,2.601,10380,-8.721
RollerBallRayBrain,2.193,2162.535,2.457,10282,-8.701
RollerBallRayBrain,2.200,2167.104,2.203,10253,-8.684
RollerBallRayBrain,2.208,2171.836,2.356,10251,-8.668
RollerBallRayBrain,2.207,2176.711,2.478,10273,-8.653
RollerBallRayBrain,2.224,2181.548,2.421,10487,-8.642
RollerBallRayBrain,2.209,2186.003,2.096,10270,-8.629
RollerBallRayBrain,2.203,2190.875,2.466,10265,-8.611
RollerBallRayBrain,2.195,2195.661,2.400,10271,-8.595
RollerBallRayBrain,2.241,2200.360,2.270,10276,-8.582
RollerBallRayBrain,2.206,2205.126,2.371,10335,-8.565
RollerBallRayBrain,2.223,2209.942,2.407,10275,-8.554
RollerBallRayBrain,2.215,2214.654,2.322,10320,-8.543
RollerBallRayBrain,2.218,2219.103,2.074,10315,-8.529
RollerBallRayBrain,2.211,2224.197,2.681,10352,-8.511
RollerBallRayBrain,2.191,2228.480,1.942,10276,-8.502
RollerBallRayBrain,2.226,2233.633,2.723,10345,-8.478
RollerBallRayBrain,2.211,2238.619,2.576,10515,-8.467
RollerBallRayBrain,2.260,2243.249,2.203,10335,-8.460
RollerBallRayBrain,2.197,2247.776,2.154,10260,-8.451
RollerBallRayBrain,2.214,2252.238,2.092,10286,-8.433
RollerBallRayBrain,2.216,2257.122,2.491,10283,-8.414
RollerBallRayBrain,2.209,2262.201,2.654,10262,-8.400
RollerBallRayBrain,2.223,2266.769,2.177,10301,-8.389
RollerBallRayBrain,2.213,2271.719,2.540,10282,-8.374
RollerBallRayBrain,2.204,2276.073,1.995,10283,-8.367
RollerBallRayBrain,2.217,2280.828,2.368,10337,-8.349
RollerBallRayBrain,2.194,2285.955,2.720,10283,-8.329
RollerBallRayBrain,2.212,2290.527,2.173,10612,-8.324
RollerBallRayBrain,2.226,2295.440,2.507,10434,-8.312
RollerBallRayBrain,2.231,2299.838,2.008,10277,-8.306
RollerBallRayBrain,2.210,2305.000,2.731,10452,-8.291
RollerBallRayBrain,2.215,2309.432,2.056,10364,-8.285
RollerBallRayBrain,2.198,2314.217,2.410,10287,-8.273
RollerBallRayBrain,2.204,2318.791,2.213,10249,-8.258
RollerBallRayBrain,2.219,2323.476,2.304,10473,-8.245
RollerBallRayBrain,2.209,2328.437,2.545,10260,-8.233
RollerBallRayBrain,2.201,2333.127,2.308,10304,-8.221
RollerBallRayBrain,2.204,2338.033,2.516,10286,-8.208
RollerBallRayBrain,2.231,2342.589,2.173,10535,-8.198
RollerBallRayBrain,2.198,2347.229,2.261,10272,-8.182
RollerBallRayBrain,2.211,2352.198,2.551,10450,-8.161
RollerBallRayBrain,2.215,2357.103,2.491,10344,-8.147
RollerBallRayBrain,2.202,2361.687,2.194,10322,-8.137
RollerBallRayBrain,2.216,2366.326,2.263,10453,-8.125
RollerBallRayBrain,2.201,2371.199,2.477,10294,-8.109
RollerBallRayBrain,2.228,2376.368,2.727,10243,-8.095
RollerBallRayBrain,2.238,2380.913,2.142,10636,-8.088
RollerBallRayBrain,2.227,2385.737,2.413,10336,-8.075
RollerBallRayBrain,2.223,2390.178,2.065,10350,-8.064
RollerBallRayBrain,2.241,2395.343,2.713,10426,-8.047
RollerBallRayBrain,2.220,2400.298,2.444,10694,-8.036
RollerBallRayBrain,2.201,2404.788,2.128,10264,-8.025
RollerBallRayBrain,2.208,2409.579,2.399,10474,-8.012
RollerBallRayBrain,2.203,2414.508,2.537,10279,-7.998
RollerBallRayBrain,2.239,2419.513,2.546,10869,-7.987
RollerBallRayBrain,2.246,2424.192,2.249,10251,-7.979
RollerBallRayBrain,2.210,2428.975,2.394,10294,-7.964
RollerBallRayBrain,2.212,2433.704,2.351,10342,-7.953
RollerBallRayBrain,2.240,2438.356,2.228,10246,-7.943
RollerBallRayBrain,2.251,2443.317,2.517,10855,-7.933
RollerBallRayBrain,2.231,2448.090,2.360,10241,-7.920
RollerBallRayBrain,2.233,2452.777,2.288,10247,-7.911
RollerBallRayBrain,2.217,2457.399,2.238,10395,-7.900
RollerBallRayBrain,2.204,2462.233,2.457,10270,-7.886
RollerBallRayBrain,2.207,2467.113,2.500,10353,-7.871
RollerBallRayBrain,2.232,2471.854,2.322,10275,-7.860
RollerBallRayBrain,2.203,2476.676,2.429,10343,-7.846
RollerBallRayBrain,2.216,2481.671,2.589,10328,-7.835
RollerBallRayBrain,2.226,2486.299,2.223,10253,-7.828
RollerBallRayBrain,2.203,2490.576,1.935,10262,-7.818
RollerBallRayBrain,2.207,2495.708,2.729,10296,-7.801
RollerBallRayBrain,2.188,2500.387,2.319,10285,-7.788
RollerBallRayBrain,2.194,2504.999,2.249,10272,-7.778
RollerBallRayBrain,2.238,2510.103,2.662,10260,-7.762
RollerBallRayBrain,2.212,2514.749,2.243,10245,-7.754
RollerBallRayBrain,2.205,2519.757,2.627,10363,-7.743
RollerBallRayBrain,2.203,2524.073,1.953,10341,-7.736
RollerBallRayBrain,2.195,2529.033,2.561,10317,-7.722
RollerBallRayBrain,2.224,2533.688,2.249,10651,-7.715
RollerBallRayBrain,2.204,2538.257,2.200,10261,-7.704
RollerBallRayBrain,2.237,2543.399,2.675,10241,-7.691
RollerBallRayBrain,2.196,2547.769,2.029,10296,-7.683
RollerBallRayBrain,2.224,2552.562,2.399,10337,-7.669
RollerBallRayBrain,2.197,2557.328,2.385,10333,-7.655
RollerBallRayBrain,2.232,2562.201,2.444,10312,-7.642
RollerBallRayBrain,2.207,2566.938,2.355,10272,-7.632
RollerBallRayBrain,2.214,2571.922,2.570,10410,-7.621
RollerBallRayBrain,2.207,2576.622,2.311,10339,-7.610
RollerBallRayBrain,2.206,2581.274,2.280,10324,-7.599
RollerBallRayBrain,2.196,2586.211,2.523,10309,-7.587
RollerBallRayBrain,2.205,2590.860,2.266,10439,-7.577
RollerBallRayBrain,2.209,2595.755,2.478,10315,-7.565
RollerBallRayBrain,2.201,2600.275,2.158,10376,-7.556
RollerBallRayBrain,2.218,2605.253,2.577,10391,-7.541
RollerBallRayBrain,2.204,2610.290,2.629,10336,-7.529
RollerBallRayBrain,2.218,2615.038,2.345,10252,-7.519
RollerBallRayBrain,2.213,2619.731,2.305,10326,-7.510
RollerBallRayBrain,2.238,2624.281,2.149,10323,-7.501
RollerBallRayBrain,2.233,2629.376,2.650,10521,-7.490
RollerBallRayBrain,2.209,2634.265,2.492,10438,-7.482
RollerBallRayBrain,2.224,2638.494,1.866,10267,-7.476
RollerBallRayBrain,2.220,2643.626,2.710,10289,-7.465
RollerBallRayBrain,2.192,2648.200,2.213,10293,-7.457
RollerBallRayBrain,2.185,2652.870,2.306,10350,-7.450
RollerBallRayBrain,2.201,2657.882,2.598,10273,-7.441
RollerBallRayBrain,2.218,2662.230,1.988,10343,-7.433
RollerBallRayBrain,2.214,2667.210,2.567,10361,-7.422
RollerBallRayBrain,2.210,2672.108,2.484,10260,-7.411
RollerBallRayBrain,2.190,2676.759,2.282,10288,-7.402
RollerBallRayBrain,2.223,2681.448,2.296,10257,-7.393
RollerBallRayBrain,2.198,2686.240,2.413,10355,-7.383
RollerBallRayBrain,2.210,2691.256,2.594,10280,-7.370
RollerBallRayBrain,2.210,2695.958,2.305,10289,-7.363
RollerBallRayBrain,2.208,2700.741,2.384,10338,-7.356
RollerBallRayBrain,2.230,2705.326,2.189,10447,-7.344
RollerBallRayBrain,2.204,2710.201,2.485,10265,-7.333
RollerBallRayBrain,2.206,2715.182,2.565,10261,-7.324
RollerBallRayBrain,2.217,2719.929,2.338,10312,-7.318
RollerBallRayBrain,2.241,2724.579,2.244,10835,-7.313
RollerBallRayBrain,2.222,2729.301,2.315,10278,-7.309
RollerBallRayBrain,2.227,2733.964,2.259,10328,-7.302
RollerBallRayBrain,2.229,2738.823,2.443,10455,-7.291
RollerBallRayBrain,2.224,2743.570,2.353,10467,-7.282
RollerBallRayBrain,2.217,2748.887,2.881,10416,-7.270
RollerBallRayBrain,2.283,2753.242,1.916,10295,-7.265
RollerBallRayBrain,2.241,2757.985,2.321,10277,-7.253
RollerBallRayBrain,2.228,2763.171,2.747,10245,-7.241
RollerBallRayBrain,2.216,2767.779,2.220,10352,-7.232
RollerBallRayBrain,2.201,2772.651,2.480,10267,-7.223
RollerBallRayBrain,2.212,2777.329,2.296,10246,-7.216
RollerBallRayBrain,2.203,2781.956,2.254,10322,-7.209
RollerBallRayBrain,2.220,2786.632,2.298,10386,-7.200
RollerBallRayBrain,2.202,2791.342,2.327,10270,-7.190
RollerBallRayBrain,2.221,2796.459,2.698,10257,-7.176
RollerBallRayBrain,2.220,2801.129,2.267,10348,-7.167
RollerBallRayBrain,2.231,2806.278,2.703,11019,-7.156
RollerBallRayBrain,2.241,2811.050,2.371,10359,-7.148
RollerBallRayBrain,2.214,2816.094,2.621,10426,-7.140
RollerBallRayBrain,2.220,2820.353,1.889,10465,-7.136
RollerBallRayBrain,2.209,2825.262,2.503,10383,-7.126
RollerBallRayBrain,2.203,2830.118,2.462,10269,-7.118
RollerBallRayBrain,2.216,2835.038,2.517,10355,-7.109
RollerBallRayBrain,2.199,2839.685,2.259,10301,-7.101
RollerBallRayBrain,2.226,2844.660,2.533,10256,-7.092
RollerBallRayBrain,2.194,2849.466,2.430,10293,-7.085
RollerBallRayBrain,2.203,2853.782,1.961,10284,-7.080
RollerBallRayBrain,2.217,2858.602,2.423,10326,-7.070
RollerBallRayBrain,2.260,2863.435,2.410,10268,-7.059
RollerBallRayBrain,2.215,2868.283,2.461,10296,-7.050
RollerBallRayBrain,2.210,2873.160,2.471,10305,-7.041
RollerBallRayBrain,2.212,2877.896,2.357,10705,-7.033
RollerBallRayBrain,2.231,2882.594,2.296,10306,-7.025
RollerBallRayBrain,2.192,2887.574,2.597,10246,-7.014
RollerBallRayBrain,2.196,2892.708,2.735,10308,-7.008
RollerBallRayBrain,2.203,2896.721,1.693,10257,-7.008
RollerBallRayBrain,2.224,2901.646,2.497,10308,-6.999
RollerBallRayBrain,2.215,2906.313,2.278,10330,-6.991
RollerBallRayBrain,2.201,2911.384,2.670,10305,-6.980
RollerBallRayBrain,2.233,2916.304,2.478,10893,-6.972
RollerBallRayBrain,2.220,2921.041,2.345,10681,-6.967
RollerBallRayBrain,2.213,2925.943,2.498,10438,-6.958
RollerBallRayBrain,2.248,2930.433,2.078,10375,-6.951
RollerBallRayBrain,2.197,2935.801,2.952,10332,-6.941
RollerBallRayBrain,2.205,2940.292,2.134,10376,-6.938
RollerBallRayBrain,2.204,2945.359,2.671,10474,-6.928
RollerBallRayBrain,2.198,2949.833,2.121,10337,-6.922
RollerBallRayBrain,2.220,2954.751,2.492,10248,-6.913
RollerBallRayBrain,2.201,2959.447,2.317,10304,-6.908
RollerBallRayBrain,2.200,2963.944,2.139,10246,-6.901
RollerBallRayBrain,2.197,2968.727,2.400,10330,-6.892
RollerBallRayBrain,2.221,2973.649,2.506,10381,-6.882
RollerBallRayBrain,2.228,2978.602,2.523,10280,-6.876
RollerBallRayBrain,2.232,2983.224,2.212,10250,-6.869
RollerBallRayBrain,2.209,2987.907,2.313,10447,-6.861
RollerBallRayBrain,2.193,2992.618,2.326,10247,-6.851
RollerBallRayBrain,2.191,2997.575,2.573,10337,-6.841
RollerBallRayBrain,2.196,3002.230,2.301,10292,-6.832
RollerBallRayBrain,2.193,3007.109,2.490,10322,-6.823
RollerBallRayBrain,2.191,3012.085,2.583,10296,-6.814
RollerBallRayBrain,2.212,3016.908,2.319,10844,-6.808
RollerBallRayBrain,2.210,3021.929,2.619,10544,-6.799
RollerBallRayBrain,2.204,3026.646,2.336,10443,-6.792
RollerBallRayBrain,2.180,3031.552,2.535,10308,-6.784
RollerBallRayBrain,2.188,3036.222,2.322,10293,-6.776
RollerBallRayBrain,2.187,3041.003,2.411,10243,-6.768
RollerBallRayBrain,2.224,3045.917,2.499,10649,-6.762
RollerBallRayBrain,2.228,3050.806,2.467,10431,-6.754
RollerBallRayBrain,2.259,3055.596,2.371,10816,-6.748
RollerBallRayBrain,2.210,3060.597,2.592,10271,-6.738
RollerBallRayBrain,2.232,3065.138,2.136,10880,-6.732
RollerBallRayBrain,2.212,3070.039,2.517,10332,-6.719
RollerBallRayBrain,2.209,3074.960,2.516,10254,-6.711
RollerBallRayBrain,2.214,3079.788,2.430,10300,-6.704
RollerBallRayBrain,2.209,3084.522,2.348,10260,-6.697
RollerBallRayBrain,2.207,3089.214,2.304,10290,-6.688
RollerBallRayBrain,2.214,3094.430,2.797,10493,-6.676
RollerBallRayBrain,2.199,3098.820,2.030,10284,-6.670
RollerBallRayBrain,2.218,3103.806,2.569,10284,-6.660
RollerBallRayBrain,2.195,3108.627,2.443,10291,-6.653
RollerBallRayBrain,2.195,3113.420,2.415,10264,-6.648
RollerBallRayBrain,2.197,3118.273,2.470,10312,-6.641
RollerBallRayBrain,2.195,3122.863,2.236,10293,-6.634
RollerBallRayBrain,2.221,3127.644,2.383,10285,-6.626
RollerBallRayBrain,2.202,3132.494,2.450,10337,-6.616
RollerBallRayBrain,2.196,3137.273,2.392,10318,-6.610
RollerBallRayBrain,2.221,3142.366,2.663,10273,-6.602
RollerBallRayBrain,2.216,3146.774,2.042,10286,-6.595
RollerBallRayBrain,2.203,3151.719,2.537,10315,-6.587
RollerBallRayBrain,2.193,3156.341,2.262,10266,-6.582
RollerBallRayBrain,2.277,3161.263,2.473,10870,-6.574
RollerBallRayBrain,2.221,3166.611,2.890,10683,-6.566
RollerBallRayBrain,2.207,3171.111,2.131,10260,-6.561
RollerBallRayBrain,2.227,3176.188,2.637,10755,-6.556
RollerBallRayBrain,2.205,3180.777,2.232,10263,-6.547
RollerBallRayBrain,2.206,3185.714,2.536,10269,-6.538
RollerBallRayBrain,2.220,3190.290,2.172,10324,-6.534
RollerBallRayBrain,2.222,3195.301,2.596,10300,-6.524
RollerBallRayBrain,2.224,3199.812,2.126,10372,-6.521
RollerBallRayBrain,2.226,3204.776,2.547,10383,-6.511
RollerBallRayBrain,2.204,3209.716,2.538,10365,-6.502
RollerBallRayBrain,2.207,3214.458,2.351,10396,-6.495
RollerBallRayBrain,2.205,3219.307,2.456,10292,-6.487
RollerBallRayBrain,2.248,3224.218,2.473,10405,-6.481
RollerBallRayBrain,2.215,3228.907,2.304,10438,-6.473
RollerBallRayBrain,2.197,3233.823,2.527,10296,-6.466
RollerBallRayBrain,2.223,3238.685,2.453,10377,-6.459
RollerBallRayBrain,2.207,3243.424,2.348,10351,-6.454
RollerBallRayBrain,2.217,3248.410,2.566,10471,-6.445
RollerBallRayBrain,2.220,3252.940,2.145,10285,-6.440
RollerBallRayBrain,2.226,3257.708,2.365,10271,-6.433
RollerBallRayBrain,2.211,3262.601,2.484,10260,-6.425
RollerBallRayBrain,2.229,3267.636,2.612,10338,-6.416
RollerBallRayBrain,2.249,3272.424,2.368,10376,-6.411
RollerBallRayBrain,2.215,3277.282,2.452,10272,-6.404
RollerBallRayBrain,2.195,3281.896,2.259,10291,-6.398
RollerBallRayBrain,2.206,3286.888,2.582,10264,-6.389
RollerBallRayBrain,2.220,3291.733,2.444,10245,-6.381
RollerBallRayBrain,2.227,3296.399,2.257,10317,-6.376
RollerBallRayBrain,2.204,3301.388,2.586,10247,-6.368
RollerBallRayBrain,2.203,3306.251,2.468,10428,-6.362
RollerBallRayBrain,2.211,3310.849,2.219,10286,-6.356
RollerBallRayBrain,2.204,3315.560,2.324,10288,-6.348
RollerBallRayBrain,2.216,3320.546,2.581,10266,-6.342
RollerBallRayBrain,2.220,3325.461,2.507,10271,-6.335
RollerBallRayBrain,2.208,3330.347,2.487,10280,-6.330
RollerBallRayBrain,2.241,3334.763,2.016,10267,-6.326
RollerBallRayBrain,2.239,3339.764,2.549,10285,-6.320
RollerBallRayBrain,2.239,3344.666,2.467,10286,-6.315
RollerBallRayBrain,2.247,3349.517,2.421,10824,-6.311
RollerBallRayBrain,2.205,3354.307,2.398,10298,-6.304
RollerBallRayBrain,2.194,3359.085,2.411,10289,-6.298
RollerBallRayBrain,2.243,3364.047,2.523,10904,-6.292
RollerBallRayBrain,2.194,3368.919,2.495,10251,-6.286
RollerBallRayBrain,2.236,3373.705,2.374,10591,-6.278
RollerBallRayBrain,2.222,3378.798,2.662,10244,-6.271
RollerBallRayBrain,2.237,3383.724,2.504,10789,-6.266
RollerBallRayBrain,2.204,3388.095,2.018,10312,-6.263
RollerBallRayBrain,2.232,3393.365,2.832,10249,-6.255
RollerBallRayBrain,2.227,3398.048,2.290,10310,-6.251
RollerBallRayBrain,2.232,3402.712,2.267,10291,-6.246
RollerBallRayBrain,2.196,3407.464,2.362,10273,-6.240
RollerBallRayBrain,2.218,3412.398,2.521,10420,-6.235
RollerBallRayBrain,2.234,3417.204,2.391,10570,-6.229
RollerBallRayBrain,2.192,3421.922,2.362,10295,-6.222
RollerBallRayBrain,2.197,3426.912,2.609,10264,-6.214
RollerBallRayBrain,2.195,3431.615,2.326,10284,-6.211
RollerBallRayBrain,2.238,3436.584,2.534,10741,-6.206
RollerBallRayBrain,2.206,3441.437,2.449,10372,-6.200
RollerBallRayBrain,2.231,3446.320,2.458,10653,-6.194
RollerBallRayBrain,2.206,3451.250,2.525,10286,-6.187
RollerBallRayBrain,2.204,3456.030,2.388,10423,-6.181
RollerBallRayBrain,2.231,3460.661,2.223,10298,-6.177
RollerBallRayBrain,2.261,3465.687,2.568,10342,-6.171
RollerBallRayBrain,2.202,3470.486,2.415,10271,-6.165
RollerBallRayBrain,2.213,3475.531,2.615,10353,-6.159
RollerBallRayBrain,2.219,3480.098,2.186,10285,-6.156
RollerBallRayBrain,2.223,3484.846,2.333,10340,-6.152
RollerBallRayBrain,2.214,3489.533,2.305,10311,-6.146
RollerBallRayBrain,2.226,3494.484,2.531,10265,-6.140
RollerBallRayBrain,2.216,3499.408,2.508,10287,-6.135
RollerBallRayBrain,2.222,3504.088,2.273,10246,-6.130
RollerBallRayBrain,2.197,3508.848,2.385,10476,-6.125
RollerBallRayBrain,2.220,3513.603,2.357,10290,-6.120
RollerBallRayBrain,2.210,3518.400,2.420,10352,-6.114
RollerBallRayBrain,2.226,3523.244,2.448,10331,-6.106
RollerBallRayBrain,2.218,3528.249,2.587,10315,-6.099
RollerBallRayBrain,2.228,3533.020,2.364,10270,-6.093
RollerBallRayBrain,2.215,3538.023,2.592,10642,-6.088
RollerBallRayBrain,2.232,3542.622,2.196,10260,-6.084
RollerBallRayBrain,2.205,3547.449,2.441,10319,-6.078
RollerBallRayBrain,2.210,3552.233,2.409,10322,-6.072
RollerBallRayBrain,2.204,3557.118,2.502,10335,-6.065
RollerBallRayBrain,2.205,3562.146,2.629,10251,-6.057
RollerBallRayBrain,2.198,3566.898,2.384,10289,-6.051
RollerBallRayBrain,2.236,3571.977,2.652,10250,-6.043
RollerBallRayBrain,2.228,3576.578,2.199,10294,-6.039
RollerBallRayBrain,2.205,3581.582,2.593,10280,-6.033
RollerBallRayBrain,2.206,3586.149,2.199,10248,-6.028
RollerBallRayBrain,2.213,3590.854,2.304,10245,-6.021
RollerBallRayBrain,2.224,3595.953,2.684,10535,-6.013
RollerBallRayBrain,2.233,3600.945,2.572,10321,-6.008
RollerBallRayBrain,2.223,3605.832,2.472,10323,-6.002
RollerBallRayBrain,2.210,3610.410,2.205,10274,-5.997
RollerBallRayBrain,2.218,3615.166,2.358,10273,-5.992
RollerBallRayBrain,2.212,3620.022,2.480,10249,-5.987
RollerBallRayBrain,2.203,3624.904,2.496,10419,-5.982
RollerBallRayBrain,2.213,3629.732,2.426,10255,-5.976
RollerBallRayBrain,2.220,3634.367,2.248,10304,-5.972
RollerBallRayBrain,2.214,3639.326,2.477,10511,-5.967
RollerBallRayBrain,2.233,3644.339,2.603,10345,-5.961
RollerBallRayBrain,2.210,3649.290,2.547,10254,-5.954
RollerBallRayBrain,2.228,3653.889,2.224,10321,-5.950
RollerBallRayBrain,2.209,3658.952,2.657,10283,-5.944
RollerBallRayBrain,2.214,3663.439,2.113,10425,-5.939
RollerBallRayBrain,2.223,3668.376,2.533,10529,-5.931
RollerBallRayBrain,2.219,3673.596,2.798,10350,-5.924
RollerBallRayBrain,2.209,3678.261,2.271,10274,-5.919
RollerBallRayBrain,2.222,3683.343,2.658,10288,-5.912
RollerBallRayBrain,2.215,3688.078,2.332,10287,-5.907
RollerBallRayBrain,2.194,3692.796,2.360,10292,-5.902
RollerBallRayBrain,2.239,3697.781,2.561,10247,-5.896
RollerBallRayBrain,2.212,3702.653,2.474,10286,-5.891
RollerBallRayBrain,2.237,3707.358,2.306,10332,-5.887
RollerBallRayBrain,2.219,3712.288,2.527,10380,-5.880
RollerBallRayBrain,2.226,3716.910,2.237,10294,-5.875
RollerBallRayBrain,2.223,3722.011,2.692,10358,-5.869
RollerBallRayBrain,2.243,3726.764,2.342,10365,-5.864
RollerBallRayBrain,2.196,3731.502,2.366,10332,-5.860
RollerBallRayBrain,2.208,3736.491,2.595,10268,-5.855
RollerBallRayBrain,2.210,3741.384,2.507,10273,-5.850
RollerBallRayBrain,2.218,3746.039,2.265,10335,-5.846
RollerBallRayBrain,2.193,3751.224,2.776,10277,-5.842
RollerBallRayBrain,2.220,3755.749,2.145,10255,-5.838
RollerBallRayBrain,2.209,3760.402,2.276,10255,-5.835
RollerBallRayBrain,2.231,3765.211,2.388,10372,-5.829
RollerBallRayBrain,2.216,3770.125,2.507,10365,-5.824
RollerBallRayBrain,2.225,3775.080,2.527,10350,-5.820
RollerBallRayBrain,2.247,3779.693,2.220,10774,-5.817
RollerBallRayBrain,2.200,3784.488,2.425,10288,-5.811
RollerBallRayBrain,2.200,3789.513,2.612,10377,-5.806
RollerBallRayBrain,2.201,3794.372,2.469,10264,-5.802
RollerBallRayBrain,2.232,3799.162,2.372,10268,-5.797
RollerBallRayBrain,2.214,3804.045,2.484,10285,-5.793
RollerBallRayBrain,2.205,3808.833,2.413,10388,-5.789
RollerBallRayBrain,2.215,3813.631,2.393,10286,-5.784
RollerBallRayBrain,2.209,3818.265,2.262,10341,-5.780
RollerBallRayBrain,2.231,3823.489,2.783,10281,-5.776
RollerBallRayBrain,2.245,3828.045,2.138,10274,-5.774
RollerBallRayBrain,2.221,3832.975,2.517,10640,-5.770
RollerBallRayBrain,2.214,3837.551,2.194,10391,-5.765
RollerBallRayBrain,2.211,3842.426,2.484,10335,-5.759
RollerBallRayBrain,2.209,3847.422,2.601,10245,-5.754
RollerBallRayBrain,2.235,3852.169,2.322,10542,-5.750
RollerBallRayBrain,2.223,3857.004,2.431,10347,-5.746
RollerBallRayBrain,2.224,3862.112,2.675,10650,-5.741
RollerBallRayBrain,2.231,3866.901,2.383,10265,-5.739
RollerBallRayBrain,2.210,3871.761,2.460,10262,-5.734
RollerBallRayBrain,2.213,3876.475,2.337,10416,-5.732
RollerBallRayBrain,2.213,3881.270,2.403,10280,-5.727
RollerBallRayBrain,2.229,3885.949,2.282,10331,-5.723
RollerBallRayBrain,2.214,3890.963,2.603,10329,-5.718
RollerBallRayBrain,2.226,3895.871,2.490,10691,-5.714
RollerBallRayBrain,2.207,3900.562,2.293,10249,-5.710
RollerBallRayBrain,2.223,3905.437,2.467,10268,-5.705
RollerBallRayBrain,2.236,3910.471,2.591,10634,-5.701
RollerBallRayBrain,2.219,3915.058,2.195,10251,-5.698
RollerBallRayBrain,2.207,3920.368,2.890,10258,-5.694
RollerBallRayBrain,2.241,3924.943,2.166,10323,-5.692
RollerBallRayBrain,2.210,3929.758,2.416,10286,-5.688
RollerBallRayBrain,2.247,3934.370,2.202,10401,-5.686
RollerBallRayBrain,2.257,3939.257,2.458,10272,-5.681
RollerBallRayBrain,2.218,3944.086,2.416,10409,-5.677
RollerBallRayBrain,2.225,3949.027,2.531,10310,-5.672
RollerBallRayBrain,2.223,3953.793,2.365,10288,-5.668
RollerBallRayBrain,2.215,3958.682,2.476,10325,-5.664
RollerBallRayBrain,2.205,3963.420,2.349,10341,-5.661
RollerBallRayBrain,2.200,3968.334,2.524,10241,-5.655
RollerBallRayBrain,2.212,3973.158,2.435,10258,-5.652
RollerBallRayBrain,2.202,3978.000,2.445,10326,-5.647
RollerBallRayBrain,2.211,3982.620,2.247,10261,-5.643
RollerBallRayBrain,2.209,3987.545,2.512,10345,-5.638
RollerBallRayBrain,2.224,3992.305,2.371,10299,-5.634
RollerBallRayBrain,2.211,3997.274,2.561,10283,-5.628
RollerBallRayBrain,2.194,4002.212,2.545,10284,-5.624
RollerBallRayBrain,2.223,4006.765,2.171,10243,-5.620
RollerBallRayBrain,2.224,4011.973,2.758,10309,-5.615
RollerBallRayBrain,2.209,4016.579,2.227,10270,-5.611
RollerBallRayBrain,2.217,4021.472,2.490,10493,-5.607
RollerBallRayBrain,2.197,4026.229,2.369,10272,-5.603
RollerBallRayBrain,2.206,4031.057,2.438,10272,-5.598
RollerBallRayBrain,2.202,4035.968,2.523,10340,-5.592
RollerBallRayBrain,2.235,4041.009,2.613,10333,-5.589
RollerBallRayBrain,2.237,4045.872,2.437,10611,-5.586
RollerBallRayBrain,2.201,4050.761,2.496,10330,-5.581
RollerBallRayBrain,2.217,4055.475,2.328,10286,-5.577
RollerBallRayBrain,2.232,4060.641,2.731,10326,-5.572
RollerBallRayBrain,2.227,4065.316,2.280,10252,-5.570
RollerBallRayBrain,2.211,4069.871,2.187,10386,-5.567
RollerBallRayBrain,2.234,4074.776,2.464,10262,-5.562
RollerBallRayBrain,2.212,4079.659,2.475,10415,-5.558
RollerBallRayBrain,2.227,4084.475,2.429,10360,-5.554
RollerBallRayBrain,2.219,4089.305,2.427,10302,-5.551
RollerBallRayBrain,2.213,4094.086,2.381,10264,-5.547
RollerBallRayBrain,2.215,4099.169,2.657,10244,-5.542
RollerBallRayBrain,2.219,4103.757,2.215,10276,-5.540
RollerBallRayBrain,2.207,4108.676,2.528,10241,-5.535
RollerBallRayBrain,2.200,4113.482,2.405,10255,-5.530
RollerBallRayBrain,2.235,4118.546,2.631,10303,-5.526
RollerBallRayBrain,2.211,4123.122,2.193,10529,-5.523
RollerBallRayBrain,2.237,4128.268,2.706,10308,-5.518
RollerBallRayBrain,2.206,4132.740,2.110,10294,-5.516
RollerBallRayBrain,2.189,4137.613,2.503,10278,-5.512
RollerBallRayBrain,2.219,4142.519,2.501,10345,-5.507
RollerBallRayBrain,2.212,4147.392,2.482,10344,-5.504
RollerBallRayBrain,2.215,4152.214,2.425,10293,-5.500
RollerBallRayBrain,2.181,4157.019,2.450,10241,-5.496
RollerBallRayBrain,2.212,4161.695,2.301,10289,-5.492
