Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallRayBrain,2.228,828.820,2.431,10337,-8.583
RollerBallRayBrain,2.212,833.772,2.548,10397,-8.495
RollerBallRayBrain,2.199,838.567,2.419,10290,-8.424
RollerBallRayBrain,2.229,843.363,2.383,10287,-8.340
RollerBallRayBrain,2.197,848.182,2.427,10261,-8.261
RollerBallRayBrain,2.192,853.040,2.478,10270,-8.179
RollerBallRayBrain,2.222,857.881,2.419,10285,-8.096
RollerBallRayBrain,2.200,862.804,2.538,10249,-8.022
RollerBallRayBrain,2.200,867.547,2.353,10391,-7.954
RollerBallRayBrain,2.225,872.437,2.483,10281,-7.873
RollerBallRayBrain,2.204,877.293,2.468,10346,-7.806
RollerBallRayBrain,2.200,882.111,2.434,10409,-7.741
RollerBallRayBrain,2.201,886.963,2.457,10271,-7.676
RollerBallRayBrain,2.216,891.773,2.406,10258,-7.613
RollerBallRayBrain,2.220,896.534,2.365,10287,-7.546
RollerBallRayBrain,2.214,901.474,2.543,10284,-7.485
RollerBallRayBrain,2.209,906.410,2.543,10289,-7.412
RollerBallRayBrain,2.220,911.256,2.445,10284,-7.348
RollerBallRayBrain,2.223,916.203,2.521,10306,-7.285
RollerBallRayBrain,2.210,920.958,2.370,10346,-7.226
RollerBallRayBrain,2.209,925.905,2.547,10257,-7.167
RollerBallRayBrain,2.199,930.668,2.384,10243,-7.123
RollerBallRayBrain,2.244,935.547,2.465,10292,-7.069
RollerBallRayBrain,2.204,940.355,2.423,10313,-7.013
RollerBallRayBrain,2.215,945.257,2.499,10255,-6.961
RollerBallRayBrain,2.193,950.119,2.494,10334,-6.904
RollerBallRayBrain,2.196,954.948,2.450,10290,-6.850
RollerBallRayBrain,2.218,959.869,2.522,10270,-6.795
RollerBallRayBrain,2.211,964.759,2.487,10329,-6.741
RollerBallRayBrain,2.195,969.653,2.503,10396,-6.691
RollerBallRayBrain,2.215,974.575,2.527,10250,-6.638
RollerBallRayBrain,2.200,979.394,2.432,10322,-6.584
RollerBallRayBrain,2.195,984.354,2.574,10314,-6.532
RollerBallRayBrain,2.194,989.312,2.572,10243,-6.480
RollerBallRayBrain,2.195,994.169,2.472,10254,-6.432
RollerBallRayBrain,2.209,998.997,2.428,10312,-6.386
RollerBallRayBrain,2.233,1003.932,2.514,10345,-6.341
RollerBallRayBrain,2.190,1008.790,2.489,10261,-6.301
RollerBallRayBrain,2.223,1013.756,2.560,10334,-6.258
RollerBallRayBrain,2.216,1018.650,2.485,10316,-6.221
RollerBallRayBrain,2.200,1023.435,2.402,10249,-6.179
RollerBallRayBrain,2.219,1028.358,2.521,10297,-6.140
RollerBallRayBrain,2.202,1033.315,2.557,10246,-6.103
RollerBallRayBrain,2.223,1038.128,2.419,10253,-6.069
RollerBallRayBrain,2.215,1042.942,2.422,10306,-6.030
RollerBallRayBrain,2.210,1047.854,2.518,10246,-5.991
RollerBallRayBrain,2.191,1052.760,2.523,10255,-5.946
RollerBallRayBrain,2.199,1057.759,2.604,10336,-5.907
RollerBallRayBrain,2.236,1062.644,2.475,10366,-5.867
RollerBallRayBrain,2.205,1067.551,2.529,10246,-5.831
RollerBallRayBrain,2.214,1072.473,2.508,10256,-5.798
RollerBallRayBrain,2.195,1077.338,2.464,10241,-5.762
RollerBallRayBrain,2.207,1082.149,2.435,10267,-5.726
RollerBallRayBrain,2.234,1087.122,2.567,10244,-5.689
RollerBallRayBrain,2.198,1092.109,2.595,10307,-5.651
RollerBallRayBrain,2.202,1097.059,2.550,10244,-5.623
RollerBallRayBrain,2.218,1101.913,2.453,10370,-5.593
RollerBallRayBrain,2.214,1106.656,2.347,10244,-5.567
RollerBallRayBrain,2.219,1111.778,2.711,10349,-5.529
RollerBallRayBrain,2.217,1116.611,2.431,10302,-5.499
RollerBallRayBrain,2.204,1121.536,2.533,10294,-5.469
RollerBallRayBrain,2.231,1126.487,2.533,10648,-5.440
RollerBallRayBrain,2.232,1131.488,2.569,10313,-5.410
RollerBallRayBrain,2.225,1136.493,2.581,10274,-5.378
RollerBallRayBrain,2.223,1141.452,2.562,10343,-5.349
RollerBallRayBrain,2.209,1146.359,2.508,10251,-5.321
RollerBallRayBrain,2.208,1151.213,2.475,10270,-5.295
RollerBallRayBrain,2.210,1156.083,2.463,10275,-5.269
RollerBallRayBrain,2.213,1161.039,2.560,10243,-5.244
RollerBallRayBrain,2.250,1165.959,2.486,10260,-5.218
RollerBallRayBrain,2.214,1170.901,2.522,10306,-5.190
RollerBallRayBrain,2.216,1175.749,2.458,10261,-5.165
RollerBallRayBrain,2.218,1180.735,2.567,10354,-5.139
RollerBallRayBrain,2.202,1185.720,2.598,10260,-5.111
RollerBallRayBrain,2.233,1190.720,2.582,10258,-5.083
RollerBallRayBrain,2.211,1195.556,2.429,10248,-5.061
RollerBallRayBrain,2.205,1200.477,2.517,10251,-5.038
RollerBallRayBrain,2.202,1205.288,2.432,10287,-5.017
