Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallRayBrain,3.935,9.693,4.119,17745,-32.822
RollerBallRayBrain,3.848,17.411,3.574,17419,-32.520
RollerBallRayBrain,3.639,24.913,3.587,16647,-32.752
RollerBallRayBrain,3.371,32.185,3.587,16245,-32.033
RollerBallRayBrain,3.608,39.690,3.593,17316,-32.282
RollerBallRayBrain,3.789,47.337,3.555,17587,-32.109
RollerBallRayBrain,3.794,54.971,3.553,17922,-32.088
RollerBallRayBrain,3.553,62.353,3.524,16885,-31.975
RollerBallRayBrain,2.217,67.831,3.000,10367,-31.853
RollerBallRayBrain,2.226,71.300,1.146,10656,-31.946
RollerBallRayBrain,2.888,77.429,2.996,13467,-31.825
RollerBallRayBrain,2.217,82.601,2.729,10262,-31.721
RollerBallRayBrain,2.243,86.276,1.309,10656,-31.804
RollerBallRayBrain,2.231,91.787,3.026,10772,-31.791
RollerBallRayBrain,2.203,95.317,1.216,10248,-31.702
RollerBallRayBrain,2.468,100.392,2.405,11973,-31.503
RollerBallRayBrain,2.203,105.321,2.522,10284,-31.440
RollerBallRayBrain,2.206,109.161,1.495,10319,-31.387
RollerBallRayBrain,2.264,113.936,2.304,10426,-31.352
RollerBallRayBrain,2.233,118.401,2.034,10656,-31.426
RollerBallRayBrain,2.677,123.634,2.339,12359,-31.397
RollerBallRayBrain,2.225,128.771,2.693,10756,-31.401
RollerBallRayBrain,2.269,132.733,1.557,10887,-31.286
RollerBallRayBrain,2.208,137.521,2.369,10773,-31.298
RollerBallRayBrain,2.229,141.882,1.957,10790,-31.247
RollerBallRayBrain,2.242,146.824,2.476,10382,-31.221
RollerBallRayBrain,2.252,151.509,2.233,10656,-31.281
RollerBallRayBrain,2.239,155.581,1.691,10716,-31.286
RollerBallRayBrain,2.264,160.164,2.124,10656,-31.342
RollerBallRayBrain,2.262,164.727,2.120,10332,-31.257
RollerBallRayBrain,2.241,169.413,2.248,10477,-31.294
RollerBallRayBrain,2.242,173.808,1.975,10742,-31.301
RollerBallRayBrain,2.204,178.253,2.055,10413,-31.280
RollerBallRayBrain,2.253,182.912,2.216,10903,-31.250
RollerBallRayBrain,2.224,187.544,2.219,10714,-31.255
RollerBallRayBrain,2.232,192.146,2.167,10806,-31.220
RollerBallRayBrain,2.196,196.687,2.148,10321,-31.242
RollerBallRayBrain,2.242,201.121,2.021,10722,-31.114
RollerBallRayBrain,2.232,205.720,2.170,10892,-31.090
RollerBallRayBrain,2.231,210.444,2.297,10656,-31.136
RollerBallRayBrain,2.238,214.900,2.031,10540,-31.129
RollerBallRayBrain,2.202,219.103,1.851,10595,-31.087
RollerBallRayBrain,2.220,223.860,2.339,10656,-31.130
RollerBallRayBrain,2.205,228.199,1.955,10340,-31.150
RollerBallRayBrain,2.227,233.087,2.428,10542,-31.182
RollerBallRayBrain,2.227,237.557,2.070,10745,-31.189
RollerBallRayBrain,2.266,241.640,1.675,10311,-31.169
RollerBallRayBrain,2.231,246.414,2.324,10486,-31.019
RollerBallRayBrain,2.225,250.580,1.801,10616,-30.952
RollerBallRayBrain,2.216,255.062,2.074,10546,-30.951
RollerBallRayBrain,2.215,259.904,2.412,10360,-30.872
RollerBallRayBrain,2.273,264.313,1.962,10893,-30.826
RollerBallRayBrain,2.229,268.966,2.233,10566,-30.731
RollerBallRayBrain,2.236,273.239,1.869,10563,-30.703
RollerBallRayBrain,2.212,277.824,2.162,10757,-30.624
RollerBallRayBrain,2.239,282.340,2.090,10802,-30.549
RollerBallRayBrain,2.207,286.918,2.187,10422,-30.458
RollerBallRayBrain,2.234,291.069,1.756,10568,-30.294
RollerBallRayBrain,2.220,295.523,2.066,10621,-30.165
RollerBallRayBrain,2.233,300.495,2.521,10544,-29.929
RollerBallRayBrain,2.242,304.462,1.596,10735,-29.845
RollerBallRayBrain,2.241,309.766,2.808,10724,-29.710
RollerBallRayBrain,2.279,314.291,2.071,10821,-29.637
RollerBallRayBrain,2.202,318.616,1.960,10404,-29.523
RollerBallRayBrain,2.231,323.073,2.040,10630,-29.326
RollerBallRayBrain,2.192,327.157,1.747,10437,-29.199
RollerBallRayBrain,2.231,331.660,2.091,10614,-29.106
RollerBallRayBrain,2.247,336.660,2.518,10703,-28.931
RollerBallRayBrain,2.229,340.821,1.778,10565,-28.912
RollerBallRayBrain,2.232,345.418,2.172,10637,-28.764
RollerBallRayBrain,2.207,349.837,2.025,10450,-28.678
RollerBallRayBrain,2.233,354.572,2.297,10620,-28.559
RollerBallRayBrain,2.216,359.133,2.158,10695,-28.427
RollerBallRayBrain,2.223,363.464,1.937,10437,-28.229
RollerBallRayBrain,2.213,367.618,1.787,10276,-28.015
RollerBallRayBrain,2.218,372.993,2.882,10554,-27.855
RollerBallRayBrain,2.243,376.673,1.321,10770,-27.765
RollerBallRayBrain,2.211,381.652,2.546,10523,-27.542
RollerBallRayBrain,2.219,386.306,2.251,10452,-27.448
RollerBallRayBrain,2.245,390.071,1.405,10532,-27.257
RollerBallRayBrain,2.228,395.347,2.797,10700,-26.824
RollerBallRayBrain,2.218,399.512,1.806,10517,-26.635
RollerBallRayBrain,2.210,404.055,2.146,10366,-26.399
RollerBallRayBrain,2.227,408.659,2.169,10314,-26.139
RollerBallRayBrain,2.214,413.190,2.125,10308,-25.980
RollerBallRayBrain,2.202,417.518,1.962,10350,-25.914
RollerBallRayBrain,2.214,421.903,1.994,10327,-25.705
RollerBallRayBrain,2.224,426.516,2.188,10659,-25.430
RollerBallRayBrain,2.229,431.187,2.246,10451,-25.106
RollerBallRayBrain,2.198,435.516,1.958,10248,-24.935
RollerBallRayBrain,2.215,440.074,2.157,10466,-24.558
RollerBallRayBrain,2.221,444.495,2.036,10296,-24.317
RollerBallRayBrain,2.216,448.880,1.996,10364,-23.992
RollerBallRayBrain,2.213,453.596,2.311,10271,-23.669
RollerBallRayBrain,2.209,458.117,2.133,10568,-23.377
RollerBallRayBrain,2.227,462.571,2.056,10496,-23.126
RollerBallRayBrain,2.187,466.764,1.845,10248,-22.778
RollerBallRayBrain,2.218,471.785,2.577,10247,-22.356
RollerBallRayBrain,2.419,476.703,2.306,11403,-22.067
RollerBallRayBrain,2.213,481.225,2.125,10333,-21.814
RollerBallRayBrain,2.205,485.446,1.862,10523,-21.476
RollerBallRayBrain,2.191,490.441,2.575,10255,-21.115
RollerBallRayBrain,2.236,494.746,1.900,10378,-20.881
RollerBallRayBrain,2.232,499.651,2.466,10671,-20.669
RollerBallRayBrain,2.207,503.977,1.959,10905,-20.516
RollerBallRayBrain,2.190,508.633,2.282,10433,-20.162
RollerBallRayBrain,2.215,513.267,2.236,10281,-19.837
RollerBallRayBrain,2.208,517.725,2.073,10249,-19.590
RollerBallRayBrain,2.207,522.179,2.069,10314,-19.306
RollerBallRayBrain,2.200,526.904,2.344,10258,-18.975
RollerBallRayBrain,2.217,531.354,2.047,10367,-18.712
RollerBallRayBrain,2.216,536.070,2.312,10308,-18.428
RollerBallRayBrain,2.211,541.014,2.522,10287,-18.139
RollerBallRayBrain,2.217,545.007,1.651,10336,-17.954
RollerBallRayBrain,2.192,549.706,2.320,10342,-17.698
RollerBallRayBrain,2.228,554.297,2.188,10286,-17.421
RollerBallRayBrain,2.199,558.889,2.212,10304,-17.096
RollerBallRayBrain,2.206,563.435,2.180,10272,-16.815
RollerBallRayBrain,2.200,568.294,2.471,10441,-16.499
RollerBallRayBrain,2.228,572.936,2.242,10300,-16.245
RollerBallRayBrain,2.194,577.790,2.461,10345,-15.998
RollerBallRayBrain,2.237,582.573,2.260,10629,-15.799
RollerBallRayBrain,2.204,586.992,2.055,10342,-15.595
RollerBallRayBrain,2.217,592.059,2.622,10273,-15.375
RollerBallRayBrain,2.226,596.450,2.004,10351,-15.249
RollerBallRayBrain,2.204,600.970,2.140,10274,-15.051
RollerBallRayBrain,2.208,605.722,2.356,10292,-14.871
RollerBallRayBrain,2.208,610.131,2.040,10294,-14.656
RollerBallRayBrain,2.231,615.110,2.540,10345,-14.441
RollerBallRayBrain,2.213,619.670,2.170,10270,-14.263
RollerBallRayBrain,2.225,624.325,2.257,10343,-14.073
RollerBallRayBrain,2.220,629.018,2.285,10315,-13.890
RollerBallRayBrain,2.239,633.821,2.361,10460,-13.710
RollerBallRayBrain,2.194,638.216,2.043,10311,-13.566
RollerBallRayBrain,2.210,643.056,2.441,10250,-13.379
RollerBallRayBrain,2.202,648.302,2.817,10306,-13.203
RollerBallRayBrain,2.202,652.499,1.843,10548,-13.101
RollerBallRayBrain,2.213,657.110,2.224,10556,-12.935
RollerBallRayBrain,2.238,662.004,2.464,10877,-12.743
RollerBallRayBrain,2.237,666.715,2.292,10362,-12.593
RollerBallRayBrain,2.196,671.406,2.307,10284,-12.433
RollerBallRayBrain,2.220,676.057,2.247,10249,-12.297
RollerBallRayBrain,2.206,680.827,2.367,10354,-12.133
RollerBallRayBrain,2.202,685.567,2.349,10347,-11.967
RollerBallRayBrain,2.205,690.360,2.401,10337,-11.819
RollerBallRayBrain,2.210,695.178,2.411,10330,-11.680
RollerBallRayBrain,2.206,699.793,2.238,10252,-11.563
RollerBallRayBrain,2.215,704.322,2.134,10301,-11.438
RollerBallRayBrain,2.209,709.139,2.408,10264,-11.315
RollerBallRayBrain,2.194,713.816,2.298,10281,-11.191
RollerBallRayBrain,2.213,718.428,2.211,10299,-11.078
RollerBallRayBrain,2.206,723.467,2.625,10241,-10.928
RollerBallRayBrain,2.193,728.052,2.214,10310,-10.816
RollerBallRayBrain,2.205,732.803,2.358,10343,-10.732
RollerBallRayBrain,2.237,737.411,2.214,10259,-10.619
RollerBallRayBrain,2.223,742.352,2.517,10363,-10.472
RollerBallRayBrain,2.233,747.023,2.269,10255,-10.356
RollerBallRayBrain,2.201,751.999,2.575,10310,-10.223
RollerBallRayBrain,2.213,756.582,2.185,10360,-10.112
RollerBallRayBrain,2.190,761.300,2.339,10252,-10.007
RollerBallRayBrain,2.213,766.288,2.569,10366,-9.879
RollerBallRayBrain,2.211,771.018,2.345,10444,-9.772
RollerBallRayBrain,2.201,775.842,2.439,10266,-9.659
RollerBallRayBrain,2.217,780.543,2.311,10388,-9.556
RollerBallRayBrain,2.195,785.275,2.349,10283,-9.474
RollerBallRayBrain,2.201,790.027,2.381,10409,-9.370
RollerBallRayBrain,2.211,795.000,2.552,10440,-9.272
RollerBallRayBrain,2.216,799.780,2.369,10317,-9.183
RollerBallRayBrain,2.209,804.538,2.360,10276,-9.079
RollerBallRayBrain,2.238,809.432,2.472,10400,-8.982
RollerBallRayBrain,2.221,814.255,2.403,10296,-8.886
RollerBallRayBrain,2.199,819.083,2.440,10248,-8.791
RollerBallRayBrain,2.217,823.977,2.489,10262,-8.684
